url,forks,stargazers
https://github.com/Netflix/Hystrix.git,4655,23034
https://github.com/Snailclimb/JavaGuide.git,42822,128581
https://github.com/macrozheng/mall.git,25865,62077
https://github.com/elastic/elasticsearch.git,22408,61801
https://github.com/kdn251/interviews.git,12358,58586
https://github.com/TheAlgorithms/Java.git,16199,48885
https://github.com/ReactiveX/RxJava.git,7640,46635
https://github.com/NationalSecurityAgency/ghidra.git,4550,35832
https://github.com/eugenp/tutorials.git,51277,32444
https://github.com/skylot/jadx.git,4066,32198
https://github.com/geekxh/hello-algorithm.git,6112,31540
https://github.com/alibaba/arthas.git,6751,30961
https://github.com/ityouknow/spring-boot-examples.git,12108,28189
https://github.com/apolloconfig/apollo.git,10006,27471
https://github.com/alibaba/druid.git,8263,26210
https://github.com/qiurunze123/miaosha.git,6587,25560
https://github.com/proxyee-down-org/proxyee-down.git,4558,25160
https://github.com/lenve/vhr.git,10082,25139
https://github.com/SeleniumHQ/selenium.git,7250,25093
https://github.com/alibaba/fastjson.git,6518,25082
https://github.com/dromara/hutool.git,6730,24423
https://github.com/greenrobot/EventBus.git,4667,24168
https://github.com/alibaba/spring-cloud-alibaba.git,7421,24075
https://github.com/hollischuang/toBeTopJavaer.git,5370,24034
https://github.com/scwang90/SmartRefreshLayout.git,4883,23917
https://github.com/apache/kafka.git,12031,23517
https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git,4975,23221
https://github.com/signalapp/Signal-Android.git,5594,23010
